Year,Seasons,Division,Make,Number.of.Engines,Engine.Type,Purpose.of.Flight,Weather.Condition,Broad.Phase.of.Flight,Injury.Severity
2019,Fall,PLNS,Piper,1.0,1,Personal,VMC,TAKEOFF,1
2019,Fall,RMTN,Mooney,1.0,1,Personal,VMC,MANEUVERING,1
2019,Fall,SEST,Piper,2.0,1,Instructional,VMC,TAKEOFF,0
2019,Fall,SEST,Mooney,1.0,1,Personal,VMC,OTHERS,1
2019,Fall,PLNS,Cessna,1.0,1,Personal,VMC,CRUISE,1
2019,Fall,FWST,Robinson,1.0,1,Personal,VMC,MANEUVERING,1
2019,Fall,SWST,Robinson,1.0,1,Others,VMC,MANEUVERING,1
2019,Fall,SWST,Robinson,1.0,1,Others,VMC,MANEUVERING,1
2019,Fall,SWST,Air Tractor,1.0,0,Others,VMC,MANEUVERING,1
2019,Fall,SWST,Piper,1.0,1,Personal,VMC,TAKEOFF,1
2019,Fall,SEST,Piper,1.0,1,Instructional,IMC,CRUISE,0
2019,Fall,SEST,Piper,1.0,1,Personal,VMC,APPROACH,1
2019,Fall,FWST,Bell,1.0,1,Others,VMC,LANDING,1
2019,Fall,SEST,Beech,1.0,1,Personal,VMC,GO-AROUND,0
2019,Fall,FWST,Cessna,1.0,1,Instructional,VMC,TAKEOFF,1
2019,Fall,FWST,Robinson,1.0,1,Instructional,VMC,TAKEOFF,0
2019,Fall,FWST,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Fall,SEST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Fall,RMTN,Piper,1.0,1,Personal,VMC,TAKEOFF,0
2019,Fall,SEST,Beech,1.0,0,Personal,VMC,LANDING,0
2019,Fall,FWST,Cessna,1.0,1,Personal,VMC,CRUISE,0
2019,Fall,MEST,Piper,1.0,1,Others,VMC,TAKEOFF,0
2019,Fall,PLNS,Cessna,1.0,1,Personal,IMC,OTHERS,1
2019,Fall,FWST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Fall,SWST,Beech,1.0,1,Personal,VMC,TAKEOFF,0
2019,Fall,SEST,Cessna,1.0,1,Personal,VMC,CRUISE,1
2019,Fall,MEST,Piper,1.0,1,Personal,VMC,APPROACH,1
2019,Fall,SEST,Bell,1.0,0,Others,VMC,MANEUVERING,0
2019,Fall,FWST,Robinson,1.0,1,Instructional,VMC,LANDING,0
2019,Fall,NWED,Boeing,4.0,1,Others,VMC,LANDING,1
2019,Fall,MEST,Beech,2.0,1,Personal,VMC,LANDING,0
2019,Fall,SEST,Cessna,2.0,1,Personal,VMC,MANEUVERING,1
2019,Fall,NWED,Robinson,1.0,1,Instructional,VMC,TAXI,1
2019,Fall,FWST,Piper,1.0,1,Personal,VMC,TAXI,0
2019,Fall,SEST,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Fall,RMTN,Piper,1.0,1,Personal,VMC,TAKEOFF,1
2019,Fall,SEST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Fall,SEST,Cessna,1.0,1,Personal,VMC,LANDING,1
2019,Fall,SEST,Cessna,2.0,1,Instructional,VMC,TAKEOFF,1
2019,Fall,MEST,Cessna,1.0,1,Instructional,VMC,APPROACH,0
2019,Fall,FWST,Beech,1.0,1,Instructional,VMC,DESCENT,1
2019,Fall,SEST,Cessna,1.0,1,Instructional,VMC,TAKEOFF,0
2019,Fall,RMTN,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Fall,FWST,Piper,1.0,1,Personal,VMC,TAKEOFF,0
2019,Fall,SEST,Cessna,1.0,1,Personal,VMC,CRUISE,1
2019,Fall,FWST,Piper,1.0,1,Personal,VMC,TAKEOFF,0
2019,Fall,SWST,Piper,2.0,1,Personal,VMC,LANDING,0
2019,Fall,NWED,Cessna,1.0,0,Others,VMC,APPROACH,0
2019,Fall,FWST,Cessna,1.0,1,Personal,VMC,CRUISE,1
2019,Fall,FWST,Cessna,1.0,1,Others,VMC,TAKEOFF,1
2019,Fall,SWST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Fall,SEST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Fall,SEST,Robinson,1.0,1,Others,VMC,MANEUVERING,1
2019,Fall,SWST,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Fall,FWST,Cessna,1.0,1,Personal,UNK,TAKEOFF,1
2019,Fall,FWST,Piper,1.0,1,Personal,VMC,TAKEOFF,0
2019,Fall,PLNS,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Fall,SWST,Mooney,1.0,1,Instructional,VMC,TAKEOFF,0
2019,Fall,SWST,Piper,1.0,1,Instructional,VMC,STANDING,0
2019,Fall,FWST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Fall,SEST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Fall,SWST,Cessna,1.0,1,Instructional,VMC,TAKEOFF,0
2019,Fall,MEST,Mooney,1.0,1,Personal,VMC,TAKEOFF,1
2019,Fall,SEST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Fall,PLNS,Piper,2.0,1,Personal,VMC,LANDING,0
2019,Fall,RMTN,Piper,1.0,1,Personal,VMC,TAXI,0
2019,Fall,SEST,Beech,1.0,1,Instructional,VMC,APPROACH,0
2019,Fall,SEST,Beech,1.0,1,Personal,VMC,TAXI,0
2019,Fall,MEST,Grumman,1.0,1,Others,VMC,MANEUVERING,0
2019,Fall,SEST,Cessna,1.0,1,Personal,VMC,TAKEOFF,1
2019,Fall,PLNS,Cessna,1.0,1,Others,VMC,OTHERS,1
2019,Fall,FWST,Beech,1.0,1,Instructional,VMC,TAKEOFF,1
2019,Fall,SWST,Air Tractor,1.0,0,Personal,VMC,MANEUVERING,1
2019,Fall,FWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Fall,PLNS,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Fall,SWST,Piper,1.0,1,Instructional,VMC,TAKEOFF,0
2019,Fall,FWST,Piper,1.0,1,Instructional,VMC,LANDING,0
2019,Fall,RMTN,Cessna,1.0,1,Others,VMC,MANEUVERING,1
2019,Fall,SEST,Piper,1.0,1,Personal,VMC,TAXI,0
2019,Fall,SEST,Cessna,1.0,1,Personal,VMC,LANDING,1
2019,Fall,GRLK,Piper,1.0,1,Personal,VMC,DESCENT,0
2019,Fall,FWST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Fall,GRLK,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Fall,SWST,Piper,2.0,1,Personal,VMC,LANDING,0
2019,Fall,SWST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Fall,NWED,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Fall,FWST,Piper,1.0,1,Personal,VMC,TAKEOFF,0
2019,Summer,SWST,Piper,1.0,1,Personal,VMC,CRUISE,1
2019,Summer,RMTN,Beech,1.0,1,Personal,VMC,MANEUVERING,1
2019,Summer,SWST,Air Tractor,1.0,0,Others,VMC,TAKEOFF,1
2019,Summer,FWST,Piper,1.0,1,Instructional,VMC,LANDING,0
2019,Summer,FWST,Cessna,1.0,1,Personal,VMC,GO-AROUND,1
2019,Summer,FWST,Bell,1.0,0,Others,VMC,LANDING,0
2019,Summer,FWST,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Summer,SWST,Piper,1.0,1,Instructional,VMC,TAKEOFF,0
2019,Summer,GRLK,Piper,1.0,1,Personal,VMC,CRUISE,0
2019,Summer,SWST,Cessna,2.0,0,Personal,VMC,TAKEOFF,0
2019,Summer,RMTN,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Summer,FWST,Piper,1.0,1,Instructional,VMC,LANDING,0
2019,Summer,FWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,1
2019,Summer,SEST,Cessna,2.0,1,Personal,VMC,LANDING,0
2019,Summer,RMTN,Bell,1.0,0,Others,VMC,MANEUVERING,1
2019,Summer,FWST,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Summer,SWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Summer,MEST,Beech,2.0,1,Instructional,VMC,TAKEOFF,1
2019,Summer,SEST,Cessna,1.0,1,Personal,IMC,CRUISE,1
2019,Summer,MEST,Cessna,2.0,1,Others,VMC,TAKEOFF,1
2019,Summer,PLNS,Air Tractor,1.0,0,Others,VMC,MANEUVERING,0
2019,Summer,PLNS,Bell,1.0,0,Others,VMC,MANEUVERING,1
2019,Summer,SWST,Cessna,1.0,1,Personal,VMC,CRUISE,0
2019,Summer,SEST,Cessna,1.0,1,Others,VMC,MANEUVERING,1
2019,Summer,SWST,Piper,1.0,1,Instructional,VMC,LANDING,0
2019,Summer,FWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,1
2019,Summer,GRLK,Cessna,1.0,1,Personal,VMC,TAKEOFF,1
2019,Summer,PLNS,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,GRLK,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,SWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,1
2019,Summer,SEST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Summer,MEST,Beech,1.0,1,Personal,IMC,TAKEOFF,1
2019,Summer,PLNS,Air Tractor,1.0,0,Others,VMC,MANEUVERING,1
2019,Summer,RMTN,Cessna,1.0,1,Others,VMC,APPROACH,1
2019,Summer,SEST,Piper,1.0,1,Instructional,VMC,TAKEOFF,1
2019,Summer,FWST,Cessna,1.0,1,Personal,IMC,LANDING,0
2019,Summer,MEST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Summer,SEST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,PLNS,Air Tractor,1.0,0,Others,VMC,MANEUVERING,0
2019,Summer,FWST,Piper,1.0,1,Personal,VMC,MANEUVERING,1
2019,Summer,FWST,Cessna,1.0,0,Others,VMC,LANDING,0
2019,Summer,SEST,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Summer,PLNS,Robinson,1.0,1,Others,VMC,DESCENT,1
2019,Summer,RMTN,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Summer,FWST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,SEST,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Summer,SEST,Piper,1.0,1,Instructional,VMC,CRUISE,0
2019,Summer,GRLK,Cessna,1.0,1,Personal,VMC,CRUISE,0
2019,Summer,FWST,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Summer,SEST,Piper,1.0,1,Others,VMC,TAKEOFF,0
2019,Summer,PLNS,Robinson,1.0,1,Others,VMC,MANEUVERING,1
2019,Summer,FWST,Cessna,1.0,1,Personal,VMC,LANDING,1
2019,Summer,SEST,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Summer,SEST,Hughes,1.0,1,Personal,VMC,TAXI,0
2019,Summer,PLNS,Cessna,1.0,1,Others,VMC,MANEUVERING,0
2019,Summer,SWST,Air Tractor,1.0,0,Others,VMC,OTHERS,0
2019,Summer,SEST,Air Tractor,1.0,0,Others,VMC,CLIMB,0
2019,Summer,PLNS,Beech,2.0,1,Personal,VMC,APPROACH,1
2019,Summer,FWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Summer,SWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Summer,RMTN,Cessna,2.0,1,Others,VMC,LANDING,0
2019,Summer,FWST,Cessna,1.0,1,Personal,VMC,LANDING,1
2019,Summer,PLNS,Robinson,1.0,1,Others,VMC,MANEUVERING,1
2019,Summer,FWST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,FWST,Beech,1.0,1,Personal,VMC,LANDING,0
2019,Summer,FWST,Cessna,2.0,0,Others,VMC,LANDING,1
2019,Summer,SWST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,RMTN,Cessna,1.0,1,Instructional,VMC,TAKEOFF,0
2019,Summer,MEST,Piper,1.0,1,Personal,VMC,CRUISE,1
2019,Summer,SWST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,RMTN,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Summer,MEST,Cessna,1.0,1,Others,VMC,MANEUVERING,0
2019,Summer,FWST,Robinson,1.0,1,Instructional,VMC,MANEUVERING,1
2019,Summer,PLNS,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,RMTN,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Summer,SEST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Summer,SEST,Piper,1.0,1,Personal,VMC,TAKEOFF,1
2019,Summer,GRLK,Cessna,1.0,1,Instructional,VMC,MANEUVERING,1
2019,Summer,GRLK,Piper,1.0,1,Personal,VMC,TAKEOFF,0
2019,Summer,SEST,Cessna,2.0,0,Personal,VMC,APPROACH,0
2019,Summer,RMTN,Piper,1.0,1,Personal,VMC,LANDING,1
2019,Summer,PLNS,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,FWST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,FWST,Piper,1.0,1,Personal,UNK,APPROACH,1
2019,Summer,NWED,Cessna,1.0,1,Personal,IMC,APPROACH,0
2019,Summer,SEST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,GRLK,Beech,1.0,1,Instructional,VMC,TAKEOFF,0
2019,Summer,FWST,Piper,1.0,1,Personal,UNK,LANDING,0
2019,Summer,PLNS,Beech,2.0,1,Others,VMC,TAKEOFF,0
2019,Summer,SWST,Robinson,1.0,1,Others,VMC,CRUISE,0
2019,Summer,SEST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,SWST,Cessna,1.0,1,Instructional,VMC,TAKEOFF,0
2019,Summer,FWST,Piper,1.0,1,Personal,VMC,TAKEOFF,0
2019,Summer,GRLK,Piper,1.0,1,Others,VMC,MANEUVERING,1
2019,Summer,SEST,Cessna,1.0,1,Instructional,VMC,GO-AROUND,1
2019,Summer,FWST,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Summer,NWED,Cessna,1.0,1,Personal,VMC,MANEUVERING,0
2019,Summer,RMTN,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Summer,SEST,Beech,1.0,1,Instructional,VMC,CRUISE,0
2019,Summer,SEST,Cessna,1.0,1,Others,VMC,TAKEOFF,1
2019,Summer,FWST,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Summer,SWST,Beech,2.0,0,Others,VMC,TAKEOFF,1
2019,Summer,SEST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,SWST,Beech,2.0,1,Instructional,VMC,CRUISE,1
2019,Summer,SEST,Piper,1.0,1,Personal,VMC,MANEUVERING,0
2019,Summer,SEST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,SEST,Cessna,1.0,0,Others,VMC,LANDING,0
2019,Summer,SEST,Robinson,1.0,1,Personal,VMC,MANEUVERING,1
2019,Summer,SWST,Robinson,1.0,1,Others,VMC,MANEUVERING,1
2019,Summer,FWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Summer,SWST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Summer,SEST,Beech,1.0,1,Instructional,VMC,TAKEOFF,1
2019,Summer,SWST,Robinson,1.0,1,Others,VMC,MANEUVERING,0
2019,Summer,PLNS,Cessna,1.0,1,Personal,VMC,APPROACH,0
2019,Summer,PLNS,Beech,2.0,1,Personal,VMC,APPROACH,1
2019,Summer,PLNS,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Summer,SEST,Beech,2.0,1,Personal,VMC,APPROACH,1
2019,Summer,MEST,Piper,2.0,1,Personal,VMC,LANDING,0
2019,Summer,MEST,Beech,1.0,1,Personal,VMC,GO-AROUND,0
2019,Summer,SEST,Piper,1.0,1,Instructional,VMC,LANDING,0
2019,Summer,SWST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,RMTN,Piper,1.0,1,Personal,UNK,LANDING,0
2019,Summer,SEST,Cessna,1.0,1,Instructional,VMC,TAKEOFF,0
2019,Summer,SEST,Piper,1.0,1,Personal,VMC,APPROACH,1
2019,Summer,SEST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,SWST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,GRLK,Piper,1.0,1,Personal,VMC,APPROACH,1
2019,Summer,SWST,Robinson,1.0,1,Others,VMC,MANEUVERING,0
2019,Summer,FWST,Cessna,1.0,1,Instructional,VMC,TAKEOFF,0
2019,Summer,PLNS,Cessna,1.0,1,Instructional,VMC,OTHERS,0
2019,Summer,GRLK,Beech,1.0,1,Personal,IMC,CRUISE,1
2019,Summer,FWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Summer,PLNS,Air Tractor,1.0,0,Others,VMC,MANEUVERING,0
2019,Summer,SEST,Robinson,1.0,1,Others,VMC,OTHERS,0
2019,Summer,FWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,1
2019,Summer,SEST,Cessna,1.0,1,Personal,VMC,LANDING,1
2019,Summer,FWST,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Summer,SWST,Robinson,1.0,1,Instructional,VMC,LANDING,1
2019,Summer,MEST,Piper,1.0,1,Personal,VMC,APPROACH,1
2019,Summer,SWST,Piper,1.0,1,Personal,VMC,DESCENT,1
2019,Summer,SWST,Air Tractor,1.0,0,Others,VMC,TAKEOFF,0
2019,Summer,FWST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Summer,SEST,Cessna,1.0,1,Personal,VMC,TAKEOFF,1
2019,Summer,SWST,Beech,2.0,0,Instructional,VMC,TAKEOFF,0
2019,Summer,SWST,Cessna,1.0,1,Instructional,VMC,TAXI,0
2019,Summer,SWST,Cessna,1.0,1,Instructional,VMC,TAXI,0
2019,Summer,FWST,Piper,1.0,1,Personal,VMC,MANEUVERING,1
2019,Summer,SWST,Cessna,2.0,1,Personal,VMC,LANDING,0
2019,Summer,FWST,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Summer,PLNS,Beech,1.0,1,Personal,VMC,TAKEOFF,1
2019,Summer,SEST,Cessna,1.0,1,Instructional,VMC,TAKEOFF,0
2019,Summer,SWST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,NWED,Piper,1.0,1,Instructional,VMC,TAKEOFF,0
2019,Summer,PLNS,Air Tractor,1.0,0,Others,VMC,MANEUVERING,1
2019,Summer,NWED,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Summer,FWST,Cessna,1.0,1,Personal,VMC,CRUISE,0
2019,Summer,FWST,Bell,1.0,0,Others,VMC,MANEUVERING,0
2019,Summer,MEST,Piper,1.0,1,Instructional,UNK,LANDING,0
2019,Summer,SWST,Piper,1.0,1,Others,VMC,LANDING,0
2019,Summer,FWST,Cessna,1.0,1,Personal,VMC,GO-AROUND,0
2019,Summer,FWST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Summer,SEST,Cessna,1.0,1,Personal,VMC,LANDING,1
2019,Summer,SEST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Summer,SEST,Robinson,1.0,1,Others,VMC,MANEUVERING,1
2019,Summer,SEST,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Spring,GRLK,Beech,2.0,1,Personal,VMC,LANDING,0
2019,Spring,GRLK,Air Tractor,1.0,0,Others,VMC,MANEUVERING,1
2019,Spring,GRLK,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Spring,PLNS,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Spring,MEST,Mooney,1.0,1,Personal,VMC,MANEUVERING,1
2019,Spring,GRLK,Piper,1.0,1,Personal,VMC,CRUISE,1
2019,Spring,MEST,Beech,1.0,1,Personal,VMC,LANDING,0
2019,Spring,SEST,Piper,1.0,1,Personal,VMC,APPROACH,1
2019,Spring,FWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,1
2019,Spring,GRLK,Robinson,1.0,1,Personal,VMC,CRUISE,1
2019,Spring,FWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Spring,SEST,Cessna,1.0,1,Personal,VMC,APPROACH,1
2019,Spring,SWST,Cessna,1.0,1,Instructional,VMC,TAXI,0
2019,Spring,SEST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Spring,SWST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Spring,SEST,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Spring,GRLK,Cessna,2.0,0,Personal,IMC,TAKEOFF,1
2019,Spring,SWST,Grumman,1.0,0,Others,VMC,MANEUVERING,1
2019,Spring,RMTN,Beech,1.0,1,Personal,VMC,TAKEOFF,1
2019,Spring,SEST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Spring,SEST,Piper,2.0,1,Personal,VMC,LANDING,0
2019,Spring,RMTN,Robinson,1.0,1,Personal,IMC,OTHERS,1
2019,Spring,SEST,Piper,1.0,1,Personal,VMC,CRUISE,0
2019,Spring,SWST,Grumman,1.0,0,Others,VMC,MANEUVERING,0
2019,Spring,SWST,Cessna,1.0,1,Personal,VMC,LANDING,1
2019,Spring,SEST,Hughes,1.0,1,Personal,VMC,LANDING,0
2019,Spring,MEST,Bell,1.0,0,Others,VMC,MANEUVERING,0
2019,Spring,RMTN,Beech,2.0,1,Others,VMC,APPROACH,1
2019,Spring,RMTN,Cessna,1.0,1,Personal,VMC,LANDING,1
2019,Spring,SEST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Spring,FWST,Cessna,1.0,1,Others,VMC,LANDING,0
2019,Spring,RMTN,Cessna,1.0,1,Personal,VMC,TAKEOFF,1
2019,Spring,SEST,Piper,2.0,1,Personal,VMC,APPROACH,1
2019,Spring,SWST,Air Tractor,1.0,0,Others,IMC,MANEUVERING,1
2019,Spring,SEST,Piper,1.0,1,Instructional,VMC,LANDING,0
2019,Spring,PLNS,Mooney,1.0,1,Others,IMC,TAKEOFF,1
2019,Spring,MEST,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Spring,SWST,Bell,1.0,1,Instructional,VMC,TAXI,0
2019,Spring,FWST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Spring,SEST,Piper,1.0,1,Instructional,VMC,TAKEOFF,1
2019,Spring,FWST,Grumman,1.0,0,Others,VMC,MANEUVERING,0
2019,Spring,GRLK,Cessna,1.0,1,Personal,VMC,GO-AROUND,1
2019,Spring,FWST,Bell,1.0,0,Others,VMC,MANEUVERING,1
2019,Spring,GRLK,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Spring,FWST,Cessna,2.0,1,Personal,VMC,TAKEOFF,0
2019,Spring,MEST,Robinson,1.0,1,Instructional,VMC,MANEUVERING,0
2019,Spring,SWST,Beech,1.0,1,Personal,VMC,TAKEOFF,0
2019,Spring,FWST,Cessna,1.0,1,Personal,VMC,CRUISE,1
2019,Spring,MEST,Cessna,1.0,1,Personal,IMC,MANEUVERING,1
2019,Spring,SEST,Cessna,1.0,1,Instructional,VMC,LANDING,1
2019,Spring,FWST,Cessna,1.0,1,Others,VMC,MANEUVERING,0
2019,Spring,FWST,Bell,1.0,1,Instructional,VMC,LANDING,0
2019,Spring,SWST,Air Tractor,1.0,0,Others,VMC,MANEUVERING,0
2019,Spring,SWST,Cessna,1.0,1,Instructional,VMC,TAXI,0
2019,Spring,RMTN,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Spring,SEST,Cessna,1.0,0,Personal,VMC,TAKEOFF,0
2019,Spring,SEST,Bell,1.0,1,Personal,VMC,OTHERS,1
2019,Spring,SWST,Beech,2.0,1,Others,VMC,APPROACH,1
2019,Spring,FWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Spring,SWST,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Spring,GRLK,Cessna,1.0,1,Others,VMC,LANDING,0
2019,Spring,PLNS,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Spring,GRLK,Robinson,1.0,0,Others,VMC,MANEUVERING,1
2019,Spring,SWST,Bell,1.0,0,Others,VMC,MANEUVERING,1
2019,Spring,PLNS,Bell,1.0,0,Others,VMC,TAKEOFF,0
2019,Spring,PLNS,Piper,1.0,1,Personal,VMC,LANDING,0
2019,Spring,NWED,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Spring,NWED,Cessna,1.0,1,Personal,VMC,LANDING,1
2019,Spring,MEST,Cessna,1.0,1,Personal,IMC,APPROACH,1
2019,Spring,SEST,Robinson,1.0,1,Instructional,VMC,MANEUVERING,0
2019,Spring,SEST,Bell,1.0,0,Others,VMC,STANDING,0
2019,Spring,GRLK,Cessna,1.0,1,Personal,VMC,LANDING,0
2019,Spring,FWST,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Spring,MEST,Cessna,1.0,1,Personal,VMC,APPROACH,1
2019,Spring,NWED,Piper,1.0,1,Personal,VMC,APPROACH,1
2019,Spring,FWST,Piper,1.0,1,Instructional,VMC,LANDING,1
2019,Spring,SWST,Air Tractor,1.0,0,Others,VMC,MANEUVERING,1
2019,Spring,SEST,Robinson,1.0,1,Personal,VMC,TAKEOFF,1
